Unnamed: 0,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,bed_bath_sum,renovation_yes,sqft_living_plus_lot,sqft_living_plus_lot_15,lat_long,distance_from_flatiron
0,7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,0.0,0.0,3,7,1180,,1955,,98178,47.5112,-122.257,1340,5650,4.0,0,6830,6990,"(47.5112, -122.257)",7.714867719017808
1,6414100192,2014-12-09,538000.0,3,2.25,2570,7242,2.0,0.0,0.0,3,7,2170,400.0,1951,1991.0,98125,47.721000000000004,-122.319,1690,7639,5.25,1,9812,9329,"(47.721000000000004, -122.319)",7.766476387009627
2,5631500400,2015-02-25,180000.0,2,1.0,770,10000,1.0,0.0,0.0,3,6,770,,1933,,98028,47.7379,-122.23299999999999,2720,8062,3.0,0,10770,10782,"(47.7379, -122.23299999999999)",10.107949220477323
3,2487200875,2014-12-09,604000.0,4,3.0,1960,5000,1.0,0.0,0.0,5,7,1050,910.0,1965,,98136,47.5208,-122.39299999999999,1360,5000,7.0,0,6960,6360,"(47.5208, -122.39299999999999)",6.655340065489545
4,1954400510,2015-02-18,510000.0,3,2.0,1680,8080,1.0,0.0,0.0,3,8,1680,,1987,,98074,47.6168,-122.045,1800,7503,5.0,0,9760,9303,"(47.6168, -122.045)",13.578402374482105
5,7237550310,2014-05-12,1230000.0,4,4.5,5420,101930,1.0,0.0,0.0,3,11,3890,1530.0,2001,,98053,47.6561,-122.005,4760,101930,8.5,0,107350,106690,"(47.6561, -122.005)",15.762263874695018
6,1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0.0,0.0,3,7,1715,,1995,,98003,47.3097,-122.32700000000001,2238,6819,5.25,0,8534,9057,"(47.3097, -122.32700000000001)",20.698039109138726
7,2008000270,2015-01-15,291850.0,3,1.5,1060,9711,1.0,0.0,0.0,3,7,1060,,1963,,98198,47.4095,-122.315,1650,9711,4.5,0,10771,11361,"(47.4095, -122.315)",13.83371899884151
8,2414600126,2015-04-15,229500.0,3,1.0,1780,7470,1.0,0.0,0.0,3,7,1050,730.0,1960,,98146,47.5123,-122.337,1780,8113,4.0,0,9250,9893,"(47.5123, -122.337)",6.695231903649684
9,3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0.0,0.0,3,7,1890,,2003,,98038,47.3684,-122.031,2390,7570,5.5,0,8450,9960,"(47.3684, -122.031)",21.90868169838297
10,1736800520,2015-04-03,662500.0,3,2.5,3560,9796,1.0,0.0,0.0,3,8,1860,1700.0,1965,,98007,47.6007,-122.145,2210,8925,5.5,0,13356,11135,"(47.6007, -122.145)",8.931124807930733
11,9212900260,2014-05-27,468000.0,2,1.0,1160,6000,1.0,0.0,0.0,4,7,860,300.0,1942,,98115,47.69,-122.292,1330,6000,3.0,0,7160,7330,"(47.69, -122.292)",5.951370330194645
12,114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,0.0,0.0,4,7,1430,,1927,,98028,47.7558,-122.229,1780,12697,4.0,0,21331,14477,"(47.7558, -122.229)",11.292059947091937
13,6054650070,2014-10-07,400000.0,3,1.75,1370,9680,1.0,0.0,0.0,4,7,1370,,1977,,98074,47.6127,-122.045,1370,10208,4.75,0,11050,11578,"(47.6127, -122.045)",13.570931637531553
14,1175000570,2015-03-12,530000.0,5,2.0,1810,4850,1.5,0.0,0.0,3,7,1810,,1900,,98107,47.67,-122.39399999999999,1360,4850,7.0,0,6660,6210,"(47.67, -122.39399999999999)",4.986286776905582
15,9297300055,2015-01-24,650000.0,4,3.0,2950,5000,2.0,0.0,3.0,3,9,1980,970.0,1979,,98126,47.5714,-122.375,2140,4000,7.0,0,7950,6140,"(47.5714, -122.375)",3.173838872659182
16,1875500060,2014-07-31,395000.0,3,2.0,1890,14040,2.0,0.0,0.0,3,7,1890,,1994,,98019,47.7277,-121.962,1890,14018,5.0,0,15930,15908,"(47.7277, -121.962)",19.244317747285535
17,6865200140,2014-05-29,485000.0,4,1.0,1600,4300,1.5,0.0,0.0,4,7,1600,,1916,,98103,47.6648,-122.34299999999999,1610,4300,5.0,0,5900,5910,"(47.6648, -122.34299999999999)",3.8542374719122634
18,16000397,2014-12-05,189000.0,2,1.0,1200,9850,1.0,0.0,0.0,4,7,1200,,1921,,98002,47.3089,-122.21,1060,5095,3.0,0,11050,6155,"(47.3089, -122.21)",21.571323521622467
19,7983200060,2015-04-24,230000.0,3,1.0,1250,9774,1.0,0.0,0.0,4,7,1250,,1969,,98003,47.3343,-122.306,1280,8850,4.0,0,11024,10130,"(47.3343, -122.306)",19.04642465981157
20,6300500875,2014-05-14,385000.0,4,1.75,1620,4980,1.0,0.0,0.0,4,7,860,760.0,1947,,98133,47.7025,-122.34100000000001,1400,4980,5.75,0,6600,6380,"(47.7025, -122.34100000000001)",6.450126067185381
21,2524049179,2014-08-26,2000000.0,3,2.75,3050,44867,1.0,0.0,4.0,3,9,2330,720.0,1968,,98040,47.5316,-122.23299999999999,4110,20336,5.75,0,47917,24446,"(47.5316, -122.23299999999999)",7.2066543360840765
22,7137970340,2014-07-03,285000.0,5,2.5,2270,6300,2.0,0.0,0.0,3,8,2270,,1995,,98092,47.3266,-122.169,2240,7005,7.5,0,8570,9245,"(47.3266, -122.169)",21.031336673253072
23,8091400200,2014-05-16,252700.0,2,1.5,1070,9643,1.0,0.0,0.0,3,7,1070,,1985,,98030,47.3533,-122.166,1220,8386,3.5,0,10713,9606,"(47.3533, -122.166)",19.386997292608083
